stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
3390CL32,,"Dungannon Road",,52.9002214599,-1.1796521614,,,,,,
3390CL33,,"Sthchurch Dr, Clifton Library",,52.9031109416,-1.1776053516,,,,,,
3390CL34,,"Clifton Leisure Centre",,52.9055169724,-1.1758499411,,,,,,
3390CL35,,Rivergreen,,52.9075208748,-1.1744439685,,,,,,
3390CL36,,"Varney Road",,52.909469691,-1.1728753468,,,,,,
3390CL37,,"Dovenby Road",,52.9104201553,-1.1712364113,,,,,,
3390CL38,,"Southchurch Drive",,52.9116267362,-1.1702319367,,,,,,
3390CL39,,"Farnborough Rd Co-op",,52.9127371066,-1.1721885443,,,,,,
3390CL40,,"Orford Avenue",,52.9155660728,-1.1756741078,,,,,,
3390CL41,,"Clifton Lane, Fabis Drive",,52.9162607545,-1.1760327218,,,,,,
3390CL42,,"Nobel Road Turn Round",,52.8995825706,-1.1913640219,,,,,,
3390CL43,,"Southchurch Drive",,52.9096869075,-1.1679344367,,,,,,
3390CL44,,"Farnborough School",,52.9086587991,-1.1674634395,,,,,,
3390CL45,,"Clifton Sports Centre",,52.9061824171,-1.1668566823,,,,,,
3390CL46,,"Farnboro' Rd, Central College",,52.902721899,-1.1669230455,,,,,,
3390CL47,,"The Fairham",,52.9008611704,-1.1682224,,,,,,
3390CL48,,"Farnborough Rd, Dunkery Rd",,52.8980198024,-1.1706999173,,,,,,
3390CL49,,"Fairham School",,52.8967592027,-1.174276799,,,,,,
3390CL50,,"Glencoyne Road",,52.8966918216,-1.1762254398,,,,,,
3390CL51,,"Farnboro' Rd, Holy Trinity",,52.8969790082,-1.1800552796,,,,,,
3390CL52,,"Glencoyne Road",,52.8968119671,-1.1766988545,,,,,,
3390CL53,,"Fairham School",,52.8970844349,-1.1732151697,,,,,,
3390CL54,,"Dunkery Road",,52.8984759269,-1.1703641609,,,,,,
3390CL55,,"The Fairham",,52.9005319293,-1.1687044363,,,,,,
3390CL56,,"Farnboro' Rd, Central College",,52.9033060382,-1.1668969767,,,,,,
3390CL57,,"Clifton Sports Centre",,52.9064177818,-1.1670900671,,,,,,
3390CL58,,"Farnborough School",,52.9089303242,-1.1677258869,,,,,,
3390CL59,,"Varney Road",,52.9092184306,-1.1729396101,,,,,,
3390CL60,,Greencroft,,52.9134665221,-1.1749555348,,,,,,
3390CL60a,,Greencroft,,52.9135109478,-1.1748803353,,,,,,
3390CL61,,"Brinkhill Crescent",,52.9126610844,-1.1741826827,,,,,,
3390CL62,,"Woodbridge Avenue",,52.9118908628,-1.1758925709,,,,,,
3390CL63,,"Sunninghill Drive",,52.9110441802,-1.1769495545,,,,,,
3390CL64,,"Sunninghill Drive Shops",,52.9103811074,-1.1798617755,,,,,,
3390CL65,,"Sunninghill Drive",,52.9108229708,-1.1774593327,,,,,,
3390CL66,,"Sunninghill Drive Shops",,52.9103252273,-1.1795803004,,,,,,
3390CL67,,"Rivergreen Roundabout",,52.9094214024,-1.1801772907,,,,,,
3390CL67a,,"Rivergreen Roundabout",,52.909456843,-1.1801022732,,,,,,
3390CL68,,"Woodsford Grove",,52.9082690374,-1.1773292643,,,,,,
3390CL69,,"Green Lane, Dalehead Road",,52.90667608,-1.1862063436,,,,,,
3390CL70,,"Langstrath Road",,52.9047149035,-1.1833735419,,,,,,
3390CL71,,"Whitegate Vale",,52.9031804182,-1.181157384,,,,,,
3390CL73,,Morrisons,,52.9023044061,-1.1792708849,,,,,,
